POS,AGE,EXP,TEAM,GP,MIN,FGM,FGA,FG_PERCENT,x3PM,x3PA,x3P_PERCENT,FTM,FTA,FT_PERCENT,AST,STL,BLK,TOV,PF,PTS
SG,28,4,ATL,44,1305,267,565,0.473,146,333,0.438,40,44,0.909,147,49,13,54,99,720
SF,31,7,UTA,72,2216,406,925,0.439,180,461,0.39,233,265,0.879,136,45,4,128,115,1225
PF,21,2,DEN,32,160,25,58,0.431,9,24,0.375,10,15,0.667,7,3,10,13,14,69
PG,31,3,TOT,61,1053,115,299,0.385,16,85,0.188,90,101,0.891,174,43,11,71,94,336
PG,31,3,GSW,39,625,61,173,0.353,13,61,0.213,50,56,0.893,99,26,6,37,55,185
PG,31,3,CHO,22,428,54,126,0.429,3,24,0.125,40,45,0.889,75,17,5,34,39,151
SG,27,9,WAS,60,2147,670,1382,0.485,130,373,0.349,408,459,0.889,265,69,22,187,140,1878
PF,24,2,MEM,59,1415,256,495,0.517,20,77,0.26,78,113,0.69,95,60,51,33,84,610
PG,25,3,ATL,47,620,84,223,0.377,32,103,0.311,28,43,0.651,95,17,0,36,41,228
SF,23,5,NOP,61,2093,513,1101,0.466,143,375,0.381,281,320,0.878,296,42,36,154,124,1450
SF,22,2,IND,6,15,1,4,0.25,0,1,0,1,1,1,0,0,0,0,1,3
SG,24,1,TOT,32,399,39,108,0.361,16,59,0.271,31,46,0.674,30,15,10,22,40,125
SG,24,1,HOU,4,24,2,7,0.286,1,6,0.167,5,7,0.714,4,1,1,4,5,10
SG,24,1,CLE,28,375,37,101,0.366,15,53,0.283,26,39,0.667,26,14,9,18,35,115
C,32,13,MIL,70,1902,322,640,0.503,95,281,0.338,120,142,0.845,50,40,103,64,149,859
PG,24,3,BRK,65,1451,235,423,0.556,17,59,0.288,86,117,0.735,104,58,28,54,145,573
PF,25,7,HOU,6,36,8,17,0.471,0,5,0,1,2,0.5,1,0,2,4,6,17
C,22,2,ATL,33,226,18,44,0.409,0,2,0,15,22,0.682,10,4,3,21,23,51
SG,27,5,MIL,70,1354,250,529,0.473,154,341,0.452,47,61,0.77,45,24,1,44,77,701
SG,28,5,SAC,71,2433,403,992,0.406,282,721,0.391,88,104,0.846,257,63,30,130,175,1176
SF,20,1,POR,30,192,25,66,0.379,7,34,0.206,11,15,0.733,10,6,3,5,27,68
SG,29,8,POR,47,1600,405,884,0.458,169,420,0.402,108,133,0.812,223,44,21,65,87,1087
SF,25,2,CHO,53,818,96,256,0.375,31,125,0.248,41,64,0.641,67,37,12,33,62,264
SF,21,2,ATL,26,750,96,263,0.365,33,126,0.262,67,82,0.817,35,33,9,34,68,292
PF,24,2,PHO,60,1437,203,483,0.42,117,335,0.349,50,59,0.847,86,37,16,40,85,573
