POS,AGE,EXP,TEAM,GP,MIN,FGM,FGA,FG_PERCENT,x3PM,x3PA,x3P_PERCENT,FTM,FTA,FT_PERCENT,AST,STL,BLK,TOV,PF,PTS
SG,24,1,TOR,1,4,0,1,0,0,0,NA,2,2,1,2,1,0,0,0,2
C,25,3,TOT,11,121,17,25,0.68,0,1,0,3,4,0.75,4,3,7,3,10,37
C,25,3,MIL,2,3,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0
C,25,3,CHO,9,118,17,25,0.68,0,1,0,3,4,0.75,4,3,7,3,9,37
C,24,6,TOT,50,1053,239,408,0.586,9,23,0.391,96,126,0.762,55,20,33,59,81,583
C,24,6,DET,26,478,107,181,0.591,1,6,0.167,50,61,0.82,27,5,14,29,40,265
C,24,6,WAS,24,575,132,227,0.581,8,17,0.471,46,65,0.708,28,15,19,30,41,318
SG,25,3,SAC,5,28,2,8,0.25,2,7,0.286,1,2,0.5,5,1,0,2,3,7
C,33,11,LAC,46,674,87,153,0.569,0,6,0,70,99,0.707,55,14,17,36,68,244
SF,26,5,POR,65,1487,126,317,0.397,80,231,0.346,22,29,0.759,90,113,49,40,93,354
SF,26,3,NOP,28,390,49,113,0.434,41,91,0.451,13,14,0.929,18,6,1,19,32,152
PF,23,1,MEM,8,113,12,34,0.353,5,20,0.25,3,3,1,4,3,3,2,8,32
SG,20,2,LAL,67,944,103,241,0.427,42,118,0.356,36,46,0.783,60,20,17,35,57,284
SF,27,5,CLE,70,2239,304,728,0.418,168,479,0.351,77,97,0.794,283,64,29,112,170,853
C,32,7,DAL,43,871,63,146,0.432,32,92,0.348,33,47,0.702,68,17,30,28,79,191
SF,21,1,LAL,34,103,4,21,0.19,1,9,0.111,2,3,0.667,6,2,1,10,5,11
PF,25,3,UTA,16,186,19,40,0.475,9,21,0.429,6,8,0.75,6,4,6,5,14,53
SF,25,5,DEN,81,2565,522,1079,0.484,220,554,0.397,92,110,0.836,122,42,53,92,148,1356
SF,27,6,BRK,82,2854,564,1294,0.436,220,592,0.372,258,317,0.814,299,81,30,164,116,1606
PG,36,17,MIN,76,2193,294,644,0.457,179,405,0.442,102,112,0.911,449,88,17,102,128,869
C,32,11,TOT,53,600,56,156,0.359,28,96,0.292,17,25,0.68,36,9,13,22,52,157
C,32,11,WAS,24,338,33,90,0.367,14,51,0.275,15,20,0.75,22,5,7,16,31,95
C,32,11,DET,13,171,15,44,0.341,13,34,0.382,2,4,0.5,10,3,5,2,13,45
C,32,11,OKC,16,91,8,22,0.364,1,11,0.091,0,1,0,4,1,1,4,8,17
SF,25,5,CHO,69,2581,559,1210,0.462,157,450,0.349,174,211,0.825,231,65,33,138,118,1449
PG,23,3,NYK,68,1328,205,454,0.452,109,266,0.41,43,50,0.86,114,50,7,30,108,562
C,25,6,NYK,31,768,73,127,0.575,0,0,NA,27,66,0.409,18,37,35,25,55,173
C,25,6,PHI,57,740,97,198,0.49,25,64,0.391,34,50,0.68,41,22,60,39,101,253
PG,28,7,TOT,33,476,62,153,0.405,27,70,0.386,13,19,0.684,69,19,9,7,14,164
PG,28,7,DET,6,68,12,33,0.364,2,11,0.182,1,2,0.5,8,1,1,2,1,27
PG,28,7,MIN,27,408,50,120,0.417,25,59,0.424,12,17,0.706,61,18,8,5,13,137
C,26,6,ORL,80,1415,332,552,0.601,38,115,0.33,166,204,0.814,96,39,21,97,160,868
C,24,5,POR,22,200,33,65,0.508,0,0,NA,9,31,0.29,7,5,7,11,27,75
SG,21,3,GSW,66,1156,194,420,0.462,72,200,0.36,73,93,0.785,57,42,24,44,90,533
PF,25,1,TOR,11,120,11,38,0.289,0,3,0,4,9,0.444,5,3,18,12,15,26
PF,21,1,ATL,6,73,8,23,0.348,3,9,0.333,5,6,0.833,4,5,4,1,13,24
C,22,2,LAC,11,64,10,19,0.526,0,0,NA,9,14,0.643,4,5,1,2,4,29
C,27,9,IND,77,2076,476,909,0.524,116,324,0.358,245,317,0.773,100,39,144,109,232,1313
SF,23,1,MEM,7,122,18,35,0.514,5,13,0.385,7,10,0.7,2,6,4,5,10,48
SF,26,4,NOP,66,1257,170,367,0.463,58,150,0.387,68,86,0.791,128,49,12,65,91,466
SF,23,5,PHO,45,458,57,124,0.46,21,70,0.3,17,20,0.85,21,10,10,14,39,152
SG,24,3,HOU,15,75,11,26,0.423,7,14,0.5,4,5,0.8,10,3,2,3,11,33
C,25,1,CHO,25,307,12,28,0.429,0,0,NA,9,12,0.75,9,6,14,14,64,33
C,24,5,MIN,81,1964,406,851,0.477,169,408,0.414,109,148,0.736,106,63,73,111,172,1090
C,24,3,BOS,28,333,67,104,0.644,0,0,NA,20,28,0.714,20,13,21,13,50,154
C,24,5,BRK,71,2116,366,582,0.629,1,5,0.2,108,196,0.551,147,46,146,93,175,841
C,26,4,CHO,67,1759,260,376,0.691,0,1,0,132,179,0.737,54,26,74,73,176,652
SG,19,1,CHO,51,729,113,289,0.391,63,146,0.432,13,15,0.867,59,10,7,39,55,302
SG,25,5,MIN,82,1921,236,538,0.439,131,335,0.391,52,65,0.8,204,64,42,76,143,655
PF,35,16,TOT,60,1529,116,256,0.453,73,185,0.395,15,21,0.714,128,48,38,40,109,320
PF,35,16,LAC,3,54,3,8,0.375,2,7,0.286,0,0,NA,5,3,4,1,5,8
PF,35,16,PHI,57,1475,113,248,0.456,71,178,0.399,15,21,0.714,123,45,34,39,104,312
C,28,9,DEN,79,2737,822,1411,0.583,83,231,0.359,358,438,0.817,708,108,68,237,194,2085
PF,20,2,MIA,46,896,127,281,0.452,65,163,0.399,33,47,0.702,90,25,14,42,82,352
C,33,13,CHI,76,2610,586,1211,0.484,92,313,0.294,106,129,0.822,254,50,60,120,190,1370
PF,19,1,BRK,23,370,50,93,0.538,12,33,0.364,21,30,0.7,18,8,16,15,25,133
SG,30,9,LAC,76,1990,373,768,0.486,167,384,0.435,143,172,0.831,82,43,22,66,137,1056
SF,26,7,TOT,50,1702,282,577,0.489,102,267,0.382,67,89,0.753,107,68,36,81,119,733
SF,26,7,TOR,27,900,157,321,0.489,61,163,0.374,33,46,0.717,72,28,13,43,62,408
SF,26,7,NYK,23,802,125,256,0.488,41,104,0.394,34,43,0.791,35,40,23,38,57,325
PF,25,4,IND,82,1730,332,579,0.573,102,253,0.403,77,100,0.77,128,47,43,69,143,843
SG,23,2,TOT,78,1641,178,433,0.411,62,211,0.294,37,56,0.661,83,47,44,64,117,455
SG,23,2,UTA,51,1003,106,249,0.426,47,142,0.331,15,20,0.75,47,27,29,34,66,274
SG,23,2,TOR,27,638,72,184,0.391,15,69,0.217,22,36,0.611,36,20,15,30,51,181
C,24,3,OKC,15,98,11,19,0.579,2,6,0.333,10,15,0.667,2,0,7,3,18,34
PF,21,1,DAL,40,336,40,104,0.385,13,45,0.289,28,41,0.683,22,7,4,8,20,121
C,25,3,UTA,48,545,99,184,0.538,5,24,0.208,19,28,0.679,29,8,18,37,52,222
SG,24,1,CHI,23,268,32,84,0.381,12,44,0.273,4,5,0.8,13,3,2,10,24,80
C,23,4,ATL,55,1405,223,365,0.611,23,69,0.333,92,116,0.793,74,26,60,45,162,561
C,23,2,MIA,36,304,36,72,0.5,8,15,0.533,19,25,0.76,34,7,8,18,35,99
PF,24,1,IND,8,42,10,20,0.5,0,0,NA,6,8,0.75,2,2,1,0,3,26
SF,25,5,BOS,55,630,68,153,0.444,15,55,0.273,50,83,0.602,44,19,8,20,54,201
SF,30,11,TOR,15,174,14,33,0.424,8,23,0.348,3,3,1,8,5,5,2,19,39
PF,20,2,OKC,33,365,49,116,0.422,21,70,0.3,14,16,0.875,37,8,5,19,22,133
PF,38,13,TOT,31,486,18,50,0.36,13,35,0.371,3,3,1,16,16,7,8,54,52
PF,38,13,PHI,3,66,2,5,0.4,2,5,0.4,0,0,NA,0,3,2,2,9,6
PF,38,13,LAC,28,420,16,45,0.356,11,30,0.367,3,3,1,16,13,5,6,45,46
PF,25,5,TOT,73,2221,354,811,0.436,132,413,0.32,99,145,0.683,141,72,59,96,169,939
PF,25,5,CHO,44,1286,227,509,0.446,79,244,0.324,67,94,0.713,97,38,32,66,112,600
PF,25,5,DAL,29,935,127,302,0.421,53,169,0.314,32,51,0.627,44,34,27,30,57,339
PF,21,2,ORL,80,2799,640,1407,0.455,119,351,0.339,405,559,0.725,431,71,47,247,153,1804
PF,29,8,TOT,80,2657,681,1271,0.536,85,246,0.346,290,396,0.732,342,63,25,141,193,1737
PF,29,8,TOR,39,1354,325,623,0.522,46,145,0.317,169,223,0.758,190,32,10,83,87,865
PF,29,8,IND,41,1303,356,648,0.549,39,101,0.386,121,173,0.699,152,31,15,58,106,872
SF,31,9,MIL,76,1676,151,347,0.435,82,238,0.345,44,58,0.759,161,40,19,49,99,428
PG,27,1,GSW,6,26,2,4,0.5,0,2,0,0,0,NA,5,0,0,1,1,4
SF,21,2,WAS,38,493,59,155,0.381,31,97,0.32,19,28,0.679,29,18,15,19,56,168
PG,35,12,TOT,73,1462,158,379,0.417,61,181,0.337,74,90,0.822,212,43,31,65,128,451
PG,35,12,PHI,47,919,104,241,0.432,35,109,0.321,51,63,0.81,144,24,18,49,83,294
PG,35,12,MIL,26,543,54,138,0.391,26,72,0.361,23,27,0.852,68,19,13,16,45,157
PF,22,4,CHI,43,1174,159,359,0.443,59,148,0.399,52,66,0.788,66,40,33,57,87,429
PG,35,15,TOT,32,415,46,131,0.351,24,87,0.276,11,11,1,34,20,1,16,32,127
PG,35,15,ATL,19,202,19,51,0.373,13,34,0.382,0,0,NA,14,9,1,8,17,51
PG,35,15,MIA,13,213,27,80,0.338,11,53,0.208,11,11,1,20,11,0,8,15,76
PF,33,14,LAC,74,2502,582,1236,0.471,243,588,0.413,264,291,0.907,262,113,37,153,202,1671
C,24,4,PHI,82,1590,259,480,0.54,21,57,0.368,61,85,0.718,109,67,84,67,198,600
PG,26,4,BOS,82,1825,297,635,0.468,147,382,0.385,46,56,0.821,281,39,6,61,106,787
PF,23,1,CLE,8,27,1,6,0.167,1,1,1,0,2,0,0,1,0,1,2,3
SF,21,2,DEN,80,1488,208,447,0.465,45,152,0.296,71,106,0.67,86,42,88,58,143,532
PF,24,4,TOT,74,1624,235,469,0.501,26,97,0.268,69,112,0.616,97,46,68,83,143,565
C,24,4,TOR,25,437,78,170,0.459,13,47,0.277,24,42,0.571,44,16,12,29,40,193
PF,24,4,NYK,49,1187,157,299,0.525,13,50,0.26,45,70,0.643,53,30,56,54,103,372
SG,23,3,TOT,51,1025,122,328,0.372,81,240,0.338,34,45,0.756,66,35,7,28,75,359
SG,23,3,NYK,45,910,113,286,0.395,77,212,0.363,24,34,0.706,52,30,3,21,66,327
SG,23,3,DET,6,115,9,42,0.214,4,28,0.143,10,11,0.909,14,5,4,7,9,32
PG,25,2,IND,3,11,0,1,0,0,0,NA,2,2,1,2,1,0,0,1,2
PG,22,4,MIA,8,76,4,14,0.286,1,8,0.125,1,2,0.5,8,0,0,3,8,10
SG,23,5,TOT,58,1838,436,880,0.495,90,250,0.36,208,291,0.715,193,31,22,126,129,1170
SG,23,5,NYK,26,766,164,388,0.423,43,130,0.331,103,124,0.831,63,12,9,47,45,474
SG,23,5,TOR,32,1072,272,492,0.553,47,120,0.392,105,167,0.629,130,19,13,79,84,696
PF,24,2,SAS,3,39,10,17,0.588,3,7,0.429,0,0,NA,6,1,1,1,0,23
SG,19,1,POR,39,633,54,161,0.335,28,78,0.359,19,25,0.76,62,12,3,31,56,155
SF,32,11,HOU,44,417,34,82,0.415,27,67,0.403,1,1,1,15,12,5,10,29,96
PG,33,13,DEN,82,1817,326,756,0.431,102,284,0.359,79,98,0.806,308,44,13,106,149,833
C,30,9,TOT,40,555,82,147,0.558,1,3,0.333,34,47,0.723,25,11,19,24,74,199
C,30,9,DAL,23,237,33,59,0.559,0,0,NA,12,21,0.571,15,3,9,12,33,78
PF,30,9,WAS,17,318,49,88,0.557,1,3,0.333,22,26,0.846,10,8,10,12,41,121
SG,22,1,PHI,32,289,54,112,0.482,12,32,0.375,53,71,0.746,16,8,1,5,17,173
PF,33,11,TOT,29,488,43,98,0.439,19,56,0.339,22,26,0.846,24,39,18,11,56,127
PF,33,11,LAC,3,69,3,9,0.333,2,8,0.25,1,2,0.5,7,6,2,0,7,9
SF,33,11,PHI,26,419,40,89,0.449,17,48,0.354,21,24,0.875,17,33,16,11,49,118
C,26,6,POR,6,119,17,26,0.654,0,0,NA,7,9,0.778,5,7,7,7,17,41
C,35,16,MIL,16,65,7,19,0.368,2,8,0.25,2,2,1,4,1,3,2,7,18
PF,23,2,TOR,1,4,0,0,NA,0,0,NA,0,0,NA,1,0,0,0,2,0
SF,30,7,TOT,79,1954,214,539,0.397,156,422,0.37,24,35,0.686,219,59,44,73,174,608
SF,30,7,BRK,49,1202,126,325,0.388,97,265,0.366,15,22,0.682,137,32,29,51,120,364
SF,30,7,PHO,30,752,88,214,0.411,59,157,0.376,9,13,0.692,82,27,15,22,54,244
C,31,11,MIN,76,2593,406,614,0.661,0,3,0,249,390,0.638,102,52,162,118,238,1061
PF,25,5,LAL,68,1826,363,676,0.537,98,232,0.422,99,134,0.739,81,41,25,46,101,923
